Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Baseline,IDD-Baseline,OCI-Baseline
20,0.8,3.4,0.8,0.2,0.3,0.6,0.85,206.1666667,1.194368,116.6903333
22,0.4,2.9,0.5,0.3,0.2,0.65,0.71,214.6041667,0.940438,121.4659583
25,0.5,1.6,0.8,0.4,0.2,0.6,0.77,195.3125,1.026025,110.546875
20,0.3,2,0.6,0.3,0.2,0.75,0.66,218.2291667,0.790971,123.5177083
22,0.8,2.9,0.8,0.3,0.1,0.51,0.54,182.0416667,1.266526,103.0355833
22,0.6,1.8,0.7,0.4,0.2,0.72,0.89,226.6666667,1.075063,128.2933333
21,0.7,2,0.8,0.4,0.3,0.65,0.54,204.9583333,1.634166,116.0064167
22,0.5,1.3,0.3,0.3,0.2,0.47,0.54,183.25,0.763504,103.7195
23,0.5,3.2,0.2,0.3,0.2,0.35,0.7,149.5,1.002391,84.617
22,0.8,2.7,0.8,0.2,0.3,0.31,0.7,161.5625,1.228156,91.444375
22,0.4,2.1,0.3,0.3,0.2,0.55,0.67,196.5208333,0.831583,111.2307917
21,0.3,3,0.7,0.3,0.2,0.77,0.9,230.2708333,0.932057,130.3332917
22,0.8,1.8,0.3,0.4,0.2,0.46,0.78,182.0416667,1.123758,103.0355833
25,0.3,1.2,0.4,0.4,0.3,0.35,0.88,165.1666667,1.681979,93.48433333
23,0.8,1.2,0.4,0.3,0.2,0.74,0.67,229.0625,0.847098,129.649375
21,0.7,1.1,0.5,0.3,0.3,0.56,0.79,189.2916667,1.706436,107.1390833
23,0.6,2.5,0.7,0.2,0.2,0.74,0.88,224.25,0.719202,126.9255
20,0.5,2.5,0.5,0.3,0.1,0.53,0.8,188.0833333,1.187825,106.4551667
22,0.5,2.7,0.3,0.2,0.3,0.74,0.67,218.2291667,1.14446,123.5177083
23,0.3,2.5,0.3,0.2,0.2,0.31,0.68,159.1458333,0.646226,90.07654167
22,0.7,2.4,0.3,0.4,0.3,0.49,0.88,174.8125,1.576858,98.943875
22,0.7,2.7,0.5,0.2,0.2,0.59,0.65,203.75,0.770202,115.3225
